R	53.3223	-6.52356	D207	26 Mar 2025	D207\n10:37 - Dublin Heuston to Newbridge (0 mins late)\nArrived Hazelhatch next stop Sallins	To Newbridge
R	53.334	-6.37868	A407	26 Mar 2025	A407\n08:55 - Limerick to Dublin Heuston (0 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P210	26 Mar 2025	P210\n10:26 - Newbridge to Dublin Heuston (2 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P407	26 Mar 2025	P407\n10:35 - Hazelhatch to Grand Canal Dock (0 mins late)\nDeparted Park West and Cherry Orchard next stop Drumcondra	Northbound
R	53.3347	-6.22979	E814	26 Mar 2025	E814\n10:25 - Bray to Malahide (0 mins late)\nArrived Lansdowne Road next stop Grand Canal Dock	Northbound
R	53.3433	-6.24829	E110	26 Mar 2025	E110\n10:28 - Howth to Greystones (0 mins late)\nDeparted Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.347	-6.25425	E916	26 Mar 2025	E916\n10:04 - Greystones to Howth (0 mins late)\nDeparted Tara Street next stop Dublin Connolly	Northbound
R	53.3531	-6.24591	E220	26 Mar 2025	E220\n10:35 - Howth to Bray (0 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.3629	-6.22753	E813	26 Mar 2025	E813\n10:05 - Bray to Malahide (2 mins late)\nArrived Clontarf Road next stop Killester	Northbound
R	53.3629	-6.22753	P608	26 Mar 2025	P608\n10:03 - Drogheda to Grand Canal Dock (1 mins late)\nArrived Clontarf Road next stop Dublin Connolly	To Grand Canal Dock
R	53.3752	-6.31388	D911	26 Mar 2025	D911\n10:47 - Dublin Connolly to Maynooth (0 mins late)\nArrived Pelletstown next stop Ashtown	Northbound
R	53.3786	-6.19131	A110	26 Mar 2025	A110\n10:50 - Dublin Connolly to Belfast (4 mins late)\nDeparted Harmonstown next stop Drogheda	Northbound
R	53.3786	-6.19131	E221	26 Mar 2025	E221\n10:44 - Malahide to Bray (0 mins late)\nArrived Harmonstown next stop Killester	Southbound
R	53.3831	-6.4242	P747	26 Mar 2025	P747\n10:39 - Maynooth to Dublin Connolly (0 mins late)\nDeparted Clonsilla next stop Coolmine	Southbound
R	53.3909	-6.15672	E915	26 Mar 2025	E915\n09:55 - Bray to Howth (2 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.392	-6.11448	E111	26 Mar 2025	E111\n10:55 - Howth to Greystones (1 mins late)\nArrived Sutton next stop Bayside	Southbound
R	53.4032	-6.14839	A107	26 Mar 2025	A107\n09:00 - Belfast to Dublin Connolly (-1 mins late)\nArrived Clongriffin next stop Dublin Connolly	Southbound
R	53.4169	-6.1512	E812	26 Mar 2025	E812\n09:45 - Bray to Malahide (5 mins late)\nDeparted Portmarnock next stop Malahide	Northbound
R	53.5201	-6.1439	D810	26 Mar 2025	D810\n10:27 - Dublin Connolly to Drogheda (2 mins late)\nDeparted Rush and Lusk next stop Skerries	Northbound
R	53.523	-7.34608	A905	26 Mar 2025	A905\n09:05 - Sligo to Dublin Connolly (1 mins late)\nArrived Mullingar next stop Enfield	Southbound
R	53.6118	-6.18226	P706	26 Mar 2025	P706\n10:43 - Drogheda to Dublin Connolly (0 mins late)\nArrived Balbriggan next stop Skerries	Southbound
R	53.6794	-6.24253	D809	26 Mar 2025	D809\n09:54 - Dublin Pearse to Drogheda (1 mins late)\nDeparted Laytown next stop Drogheda	Northbound
R	53.7243	-7.79574	A902	26 Mar 2025	A902\n09:05 - Dublin Connolly to Sligo (0 mins late)\nDeparted Longford next stop Dromod	Northbound
R	54.0007	-6.41291	A106	26 Mar 2025	A106\n08:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A108	26 Mar 2025	A108\n09:50 - Dublin Connolly to Belfast (4 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	53.1442	-6.06085	E108	26 Mar 2025	E108\n09:30 - Malahide to Greystones(2 mins late)\nTERMINATED Greystones at 10:57	Southbound
T	53.2043	-6.10046	E216	26 Mar 2025	E216\n09:40 - Howth to Bray(1 mins late)\nTERMINATED Bray at 10:57	Southbound
T	53.3531	-6.24591	P746	26 Mar 2025	P746\n10:09 - Maynooth to Dublin Connolly(2 mins late)\nTERMINATED Dublin Connolly at 10:55	Southbound
T	53.378	-6.58993	D910	26 Mar 2025	D910\n10:17 - Dublin Connolly to Maynooth(-3 mins late)\nTERMINATED Maynooth at 10:57	Northbound
T	53.3891	-6.07401	E914	26 Mar 2025	E914\n09:35 - Bray to Howth(3 mins late)\nTERMINATED Howth at 10:51	Northbound
